signal,zone,background,event,true_x,true_y,est_x,est_y,error_m,nearest_dist,snr_nearest,method
gunshot,inside,quiet,0,-12.545988115263754,45.07143064099162,-12.527093786067445,44.99213729382063,0.081513376701971,71.50781751537497,54.38753866074117,gcc_phat
gunshot,inside,quiet,1,23.199394181140505,9.86584841970366,23.011541917777294,9.780837831786725,0.2061923201980723,102.31427759945201,49.73556127569721,gcc_phat
gunshot,inside,quiet,2,-34.398135955756345,-34.40054796637973,-34.64081374534855,-34.72280758340438,0.40341513398264206,69.62831661090163,54.71286626032331,gcc_phat
gunshot,inside,quiet,3,-44.19163878318005,36.61761457749351,-45.37005476934642,37.494942830505465,1.4691388974448432,90.39141616139845,51.40788538125899,gcc_phat
gunshot,inside,quiet,4,10.111501174320878,20.807257779604555,10.153026086573542,20.88688052945193,0.08980033758761105,95.20129943218994,50.71707750347868,gcc_phat
gunshot,inside,quiet,5,-47.94155057041976,46.990985216199434,-47.85843305794957,46.91717231981003,0.11116143464630655,83.592913039295,52.42696515293727,gcc_phat
gunshot,inside,quiet,6,33.24426408004217,-28.766088932172384,33.465318596949366,-29.033954877894818,0.3472999630331788,72.7703761588302,54.17238879510478,gcc_phat
gunshot,inside,quiet,7,-31.817503279289937,-31.65954901465662,-31.409630016166115,-31.21303715884046,0.604758990140423,72.99851647127898,54.13379349317326,gcc_phat
gunshot,inside,quiet,8,-19.57577570404623,2.4756431632237863,-19.80055384207542,2.4767543915894605,0.22478088478416144,100.46581829334677,49.986342566950015,gcc_phat
gunshot,inside,quiet,9,-6.805498135788426,-20.877085980195808,-6.855174100007411,-21.00665786189382,0.13876805809641388,100.21837649834562,50.02013391410199,gcc_phat
gunshot,inside,quiet,10,11.185289472237947,-36.05061393479582,11.079435780864664,-35.59140941103172,0.47124706749513523,91.42355589561187,51.25766002414717,gcc_phat
gunshot,inside,quiet,11,-20.785535146478185,-13.363815670630828,-21.226506125776485,-13.650943767611997,0.5262109355185701,90.79502095199894,51.34900828866587,gcc_phat
gunshot,inside,quiet,12,-4.393001578296406,28.51759613930136,-4.5011512404542575,28.995110694270444,0.4896085167071536,87.06335832425644,51.900123777149844,gcc_phat
gunshot,inside,quiet,13,-30.032621784164025,1.4234438413611628,-29.858150735597043,1.4128929762069453,0.1747897810043959,91.6250985107133,51.22845598284246,gcc_phat
gunshot,inside,quiet,14,9.241456886204247,-45.35495872800023,9.395697514877504,-46.26303639585947,0.9210837217094916,91.5990132946398,51.23223342588507,gcc_phat
gunshot,inside,quiet,15,10.75448519014384,-32.94758763127085,11.091910622382986,-34.22417898801619,1.3204322831704356,92.62385794231018,51.084349780013554,gcc_phat
gunshot,inside,quiet,16,-43.49484070147205,44.888553725333324,-43.28114898499736,44.70283271528911,0.2831191326310221,82.90687140273856,52.53284589397903,gcc_phat
gunshot,inside,quiet,17,46.563203307455936,30.83973481164611,46.752828022240905,30.972854760516434,0.23168610930420158,96.59411369613184,50.52128107615445,gcc_phat
gunshot,inside,quiet,18,-19.53862308266293,-40.23278859936161,-19.57488092920351,-40.28661485152416,0.06489912832717187,82.3429506492808,52.62032396151555,gcc_phat
gunshot,inside,quiet,19,18.423302651215693,-5.984750626039869,18.231538744938366,-5.912538403174871,0.2049097383772756,96.60666978386632,50.519524282634904,gcc_phat
gunshot,inside,quiet,20,-37.79617651552212,-0.4823089888729797,-37.05809308318856,-0.503543202804971,0.7383888169024496,84.54105136837656,52.28159454169629,gcc_phat
gunshot,inside,quiet,21,-46.56114788847816,40.9320402078782,-45.51254516963883,40.07156200738357,1.3564624563487646,87.88547074804686,51.777384796276735,gcc_phat
gunshot,inside,quiet,22,-24.12200183999831,16.252228435398195,-24.84073599316839,16.696227923964702,0.8448161508757015,102.10802049973942,49.76340183710012,gcc_phat
gunshot,inside,quiet,23,-18.828892391058904,2.0068021177810778,-18.354686391281817,1.9047623526920519,0.48506024768477013,100.78608459067057,49.94268429547225,gcc_phat
gunshot,inside,quiet,24,4.671027934327967,-31.514554447447296,4.582429672244909,-30.95795994135636,0.5636018951837813,98.86923733764294,50.20531445137678,gcc_phat
gunshot,inside,quiet,25,46.95846277645586,27.51328233611146,44.59956512613923,26.12423705199162,2.7374887992473815,99.70702522565828,50.09013355458032,gcc_phat
gunshot,inside,quiet,26,43.94989415641891,39.48273504276489,42.64180476741569,38.41257437610856,1.6900715079786177,87.7819219089998,51.79280220227339,gcc_phat
gunshot,inside,quiet,27,9.789997881108512,42.18742350231169,9.930154405074246,42.60739267126412,0.4427391490265523,73.93367275753508,53.97647074386428,gcc_phat
gunshot,inside,quiet,28,-41.15074979480805,-30.40171375808548,-40.52275562138468,-29.8935009227966,0.807871875860313,64.88716558814896,55.56246564759212,gcc_phat
gunshot,inside,quiet,29,-45.47727110894619,-17.466966923673567,-45.55576598072113,-17.456788524070134,0.07915203543466702,67.78085733827471,55.038815977338515,gcc_phat
gunshot,inside,quiet,30,-11.1322710310518,-22.865096822610408,-10.626785699967611,-21.66976362729889,1.2978200444418062,95.46405227635648,50.68000007744686,gcc_phat
gunshot,inside,quiet,31,32.87375091519293,-14.32466733064107,33.242961529082265,-14.470517183363244,0.39697437820043313,79.9399314221806,52.997728001743084,gcc_phat
gunshot,inside,quiet,32,-21.906549031261925,4.269608315824847,-21.928588850972062,4.289212005914644,0.029496750973491387,99.71540440075314,50.088984682040945,gcc_phat
gunshot,inside,quiet,33,-35.907577502523736,30.21969807540397,-35.65841916325423,30.034938122297554,0.310187231038647,92.503931158282,51.101599653451956,gcc_phat
gunshot,inside,quiet,34,-42.54493563202292,48.688693660051726,-41.27687501217897,47.43562267723738,1.782740761740284,79.18220516719543,53.11833789419829,gcc_phat
gunshot,inside,quiet,35,27.22447692966574,-30.12843184658276,27.0818775300444,-29.951348893594908,0.22736086077261503,77.83572990376014,53.33463345757677,gcc_phat
gunshot,inside,quiet,36,-49.44778828763976,31.546142845483416,-47.952020668854885,30.630594187370683,1.7537246405229647,97.40793911589817,50.40771594488476,gcc_phat
gunshot,inside,quiet,37,20.685734384761716,22.900716804098735,21.417923401865025,23.67008052581027,1.0620834680252462,94.8524209808008,50.76641054795617,gcc_phat
gunshot,inside,quiet,38,27.127034668594575,-42.59553482659096,27.23398426849952,-42.88321669693271,0.30691867887626995,74.42898156637104,53.89370939261153,gcc_phat
gunshot,inside,quiet,39,-14.153427145572742,-38.41309404748703,-13.763730707921303,-37.090239271005714,1.379060576326381,87.99415412821634,51.76121587653786,gcc_phat
gunshot,inside,quiet,40,36.31034258755935,12.329812682755794,36.196799547816454,12.284724185932031,0.12216789439080422,94.68608245000202,50.78997290975957,gcc_phat
gunshot,inside,quiet,41,-16.91019751473508,-43.644164971397636,-17.135659404292547,-44.381346609092645,0.7708889872073141,84.27613937210027,52.32210037777007,gcc_phat
gunshot,inside,quiet,42,-18.90176782843378,-17.481667797325294,-18.975268691246466,-17.564895878190526,0.11103733731821501,90.53869991295853,51.3863799249761,gcc_phat
gunshot,inside,quiet,43,22.96061783380641,13.755747135521311,24.23161046937835,14.506561354701363,1.4761924913103497,104.27363117903194,49.47282849136616,gcc_phat
gunshot,inside,quiet,44,38.72127425763266,-2.778507483805072,39.377706753185784,-2.7932094833404055,0.6565971139202806,82.31221815159107,52.62510298793869,gcc_phat
gunshot,inside,quiet,45,-38.04057540616983,21.324478722299503,-38.5335247203817,21.610104526399336,0.5697202176065279,100.44588457592117,49.989062816632966,gcc_phat
gunshot,inside,quiet,46,26.078504861689737,6.127719756949624,26.378350270927562,6.21378364616815,0.31195234005921124,97.68744984118975,50.3688520605499,gcc_phat
gunshot,inside,quiet,47,27.096717995456103,-0.6204403635609239,27.699888116575533,-0.5888781793540514,0.6039953364746585,92.61190271465392,51.086068726504436,gcc_phat
